Term,UnitsName,UnitsTypeCV,UnitsAbbreviation,UnitsLink
radian,Radian,Angle,rad,http://qudt.org/vocab/unit#Radian; http://unitsofmeasure.org/ucum.html#para-28; http://www.unidata.ucar.edu/software/udunits/
revolution,Revolution,Angle,rev,http://qudt.org/vocab/unit#Revolution; http://www.unidata.ucar.edu/software/udunits/
rotation,Rotation,Angle,,http://www.unidata.ucar.edu/software/udunits/
turn,Turn,Angle,,http://www.unidata.ucar.edu/software/udunits/
degreePerSecondSquared,Degree per Second Squared,Angular acceleration,deg/(s^2),http://qudt.org/vocab/unit#DegreePerSecondSquared
radianPerSecondSquared,Radian per Second Squared,Angular acceleration,rad/s^2,http://qudt.org/vocab/unit#RadianPerSecondSquared
revolutionPerSecondSquared,Revolution per Second Squared,Angular acceleration,,http://qudt.org/vocab/unit#RevolutionPerSecondSquared
kilogramMeterSquared,Kilogram Meter Squared,Angular mass,kg-m^2,http://qudt.org/vocab/unit#KilogramMeterSquared
electronvoltSecond,ElectronVolt Second,Angular momentum,eV s,http://qudt.org/vocab/unit#ElectronVoltSecond
ergSecond,Erg Second,Angular momentum,erg s,http://qudt.org/vocab/unit#ErgSecond
footPoundForceSecond,Foot Pound Force Second,Angular momentum,lbf*s,http://qudt.org/vocab/unit#FootPoundForceSecond
jouleSecond,Joule Second,Angular momentum,J s,http://qudt.org/vocab/unit#JouleSecond
newtonMeterSecond,Newton Meter Second,Angular momentum,Nms,
degreePerHour,Degree per Hour,Angular velocity or frequency,deg/h,http://qudt.org/vocab/unit#DegreePerHour
degreePerMinute,Degree per Minute,Angular velocity or frequency,deg/min,http://qudt.org/vocab/unit#DegreePerMinute
degreePerSecond,Degree per Second,Angular velocity or frequency,deg/s,http://qudt.org/vocab/unit#DegreePerSecond
radianPerHour,Radian per Hour,Angular velocity or frequency,rad/h,http://qudt.org/vocab/unit#RadianPerHour
radianPerMinute,Radian per Minute,Angular velocity or frequency,rad/m,http://qudt.org/vocab/unit#RadianPerMinute
radianPerSecond,Radian per Second,Angular velocity or frequency,rad/s,http://qudt.org/vocab/unit#RadianPerSecond
revolutionPerHour,Revolution per Hour,Angular velocity or frequency,rev/h,http://qudt.org/vocab/unit#RevolutionPerHour
revolutionPerMinute,Revolution per Minute,Angular velocity or frequency,rev/min,http://qudt.org/vocab/unit#RevolutionPerMinute
revolutionPerSecond,Revolution per Second,Angular velocity or frequency,rev/s,http://qudt.org/vocab/unit#RevolutionPerSecond
rotationPerMinute,Rotation per Minute,Angular velocity or frequency,rpm,http://www.unidata.ucar.edu/software/udunits/
rotationPerSecond,Rotation per Second,Angular velocity or frequency,rps,http://www.unidata.ucar.edu/software/udunits/
acre,Acre,Area,acr_us,http://qudt.org/vocab/unit#Acre
"acre,British","Acre, British",Area,acr_br,http://unitsofmeasure.org/ucum.html#para-36
are,Are,Area,ar,http://qudt.org/vocab/unit#Are
barn,Barn,Area,b,http://qudt.org/vocab/unit#Barn
circularMil,Circular Mil,Area,cml_i,http://qudt.org/vocab/unit#CircularMil
darcy,Darcy,Area,D,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
hectare,Hectare,Area,ha,http://qudt.org/vocab/unit#Hectare
planckArea,Planck Area,Area,,http://qudt.org/vocab/unit#PlanckArea
section,Section,Area,sct,http://unitsofmeasure.org/ucum.html#para-35
squareCentimeter,Square Centimeter,Area,cm^2,http://qudt.org/vocab/unit#SquareCentimeter
squareFoot,Square Foot,Area,sft_i,http://qudt.org/vocab/unit#SquareFoot; http://unitsofmeasure.org/ucum.html#para-34
squareInch,Square Inch,Area,sin_i,http://qudt.org/vocab/unit#SquareInch; http://unitsofmeasure.org/ucum.html#para-34
squareKilometer,Square Kilometer,Area,km^2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
squareMeter,Square Meter,Area,m^2,http://qudt.org/vocab/unit#SquareMeter
squareMile,Square Mile,Area,smi_us,http://qudt.org/vocab/unit#SquareMile; http://unitsofmeasure.org/ucum.html#para-35
squareRod,Square Rod,Area,srd_us,http://unitsofmeasure.org/ucum.html#para-35
squareYard,Square Yard,Area,syd_i,http://qudt.org/vocab/unit#SquareYard; http://unitsofmeasure.org/ucum.html#para-34
township,Township,Area,twp,http://unitsofmeasure.org/ucum.html#para-35
squareMeterSteradian,Square Meter Steradian,Area angle,m^2-sr,http://qudt.org/vocab/unit#SquareMeterSteradian
squareMeterPerKilometer,Square Meter per Kilometer,Area per length,m^2/km,
squareMeterPerMeter,Square Meter per Meter,Area per length,m^2/m,
squareFootDegreeFahrenheit,Square Foot Degree Fahrenheit,Area temperature,ft^2-degF,http://qudt.org/vocab/unit#SquareFootDegreeFahrenheit
squareMeterKelvin,Square Meter Kelvin,Area temperature,m^2-K,http://qudt.org/vocab/unit#SquareMeterKelvin
squareMeterPerKelvin,Square Meter per Kelvin,Area thermal expansion,m^2/K,http://qudt.org/vocab/unit#SquareMeterPerKelvin
hourSquareFoot,Hour Square Foot,Area time,hr-ft^2,http://qudt.org/vocab/unit#HourSquareFoot
secondSquareFoot,Second Square Foot,Area time,s-ft^2,http://qudt.org/vocab/unit#SecondSquareFoot
squareCentimeterMinute,Square Centimeter Minute,Area time,cm^2-m,http://qudt.org/vocab/unit#SquareCentimeterMinute
squareCentimeterSecond,Square Centimeter Second,Area time,cm^2-s,http://qudt.org/vocab/unit#SquareCentimeterSecond
squareFootHourDegreeFahrenheit,Square Foot Hour Degree Fahrenheit,Area time temperature,ft^2-hr-degF,http://qudt.org/vocab/unit#SquareFootHourDegreeFahrenheit
squareFootSecondDegreeFahrenheit,Square Foot Second Degree Fahrenheit,Area time temperature,ft^2-s-degF,http://qudt.org/vocab/unit#SquareFootSecondDegreeFahrenheit
katal,Katal,Catalytic activity,kat,http://qudt.org/vocab/unit#Katal; http://unitsofmeasure.org/ucum.html#para-45; http://www.unidata.ucar.edu/software/udunits/
unit,Unit,Catalytic activity,U,http://unitsofmeasure.org/ucum.html#para-45
admiColorUnit,Admi Color Unit,Color,ADMI,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
hazen,Hazen,Color,HU,http://environment.data.gov.au/def/unit/Hazen
platinumCobaltUnit,Platinum Cobalt Unit,Color,PCU,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
micromolePerMole,Micromole per Mole,Concentration count per count,umol/mol,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
millimolePerMole,Millimole per Mole,Concentration count per count,mmol/mol,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
molePercent,Mole percent,Concentration count per count,mol%,http://environment.data.gov.au/def/unit/MolPercent; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
molePerMole,Mole per Mole,Concentration count per count,mol/mol,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
centimolePerKilogram,Centimole per Kilogram,Concentration count per mass,cmol/kg,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
countPerGram,Count per Gram,Concentration count per mass,#/g,
micromolePerKilogram,Micromole per Kilogram,Concentration count per mass,µmol/kg,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
millimolePerKilogram,Millimole per Kilogram,Concentration count per mass,mmol/kg,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
milliosmolePerKilogram,Milliosmole per Kilogram,Concentration count per mass,mOsm/kg,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
molePerKilogram,Mole per Kilogram,Concentration count per mass,mol/kg,http://qudt.org/vocab/unit#MolePerKilogram
molePerTonne,Mole per Tonne,Concentration count per mass,mol/tonne,http://environment.data.gov.au/def/unit/MolePerTonne
mostProbableNumberPerGram,Most Probable Number per Gram,Concentration count per mass,MPN/g,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
nanomolePerKilogram,Nanomole per Kilogram,Concentration count per mass,nmol/kg,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
countPer100Gallon,Count per 100 Gallon,Concentration count per volume,#/100 gal,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
countPer100Liter,Count per 100 Liter,Concentration count per volume,#/100 L,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
countPer100Milliliter,Count per 100 Milliliter,Concentration count per volume,#/100 mL,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
countPer10Liter,Count per 10 Liter,Concentration count per volume,#/10 L,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
countPer500Milliliter,Count per 500 Milliliter,Concentration count per volume,#/500 ml,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
countPerCubicMeter,Count per Cubic Meter,Concentration count per volume,#/m^3,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
countPerDeciliter,Count per Deciliter,Concentration count per volume,#/dl,
countPerHalfCubicFoot,Count per Half Cubic Foot,Concentration count per volume,#/((ft^3)/2),http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
countPerLiter,Count per Liter,Concentration count per volume,#/L,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
countPerMilliliter,Count per Milliliter,Concentration count per volume,#/ml,
internationalUnitPerLiter,International Unit per Liter,Concentration count per volume,IU/L,http://qudt.org/vocab/unit#InternationalUnitPerLiter
micromolePerLiter,Micromole per Liter,Concentration count per volume,µmol/L; µM,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
millimolar,Millimolar,Concentration count per volume,mM,http://environment.data.gov.au/def/unit/MilliMolar; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
millimolePerCubicMeter,Millimole per Cubic Meter,Concentration count per volume,mmol/m^3,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
molar,Molar,Concentration count per volume,M,
molePerCubicMeter,Mole per Cubic Meter,Concentration count per volume,mol/m^3,http://qudt.org/vocab/unit#MolePerCubicMeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
molePerLiter,Mole per Liter,Concentration count per volume,mol/L,
mostProbableNumberPer100Liter,Most Probable Number per 100 Liter,Concentration count per volume,MPN/100 L,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
mostProbableNumberPer100Milliliter,Most Probable Number per 100 Milliliter,Concentration count per volume,MPN/100 ml,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
nanomolePerLiter,Nanomole per Liter,Concentration count per volume,nmol/L,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
normal,Normal,Concentration count per volume,N,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
grainPerGallon,Grain per Gallon,Concentration or density mass per volume,gr/gal,http://qudt.org/vocab/unit#GrainPerGallon
gramPerCubicCentimeter,Gram per Cubic Centimeter,Concentration or density mass per volume,g/cm^3,http://environment.data.gov.au/def/unit/GramsPerCubicCentimeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
gramPerCubicMeter,Gram per Cubic Meter,Concentration or density mass per volume,g/m3,
gramPerLiter,Gram per Liter,Concentration or density mass per volume,g/L,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
gramPerMilliliter,Gram per Milliliter,Concentration or density mass per volume,g/mL,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
kilogramPerCubicMeter,Kilogram per Cubic Meter,Concentration or density mass per volume,kg/m^3,http://qudt.org/vocab/unit#KilogramPerCubicMeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
longTonPerCubicYard,Long Ton per Cubic Yard,Concentration or density mass per volume,ton/yd^3,http://qudt.org/vocab/unit#TonLongPerCubicYard
microgramPerCubicMeter,Microgram per Cubic Meter,Concentration or density mass per volume,µg/m^3,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
microgramPerLiter,Microgram per Liter,Concentration or density mass per volume,µg/L,http://environment.data.gov.au/def/unit/MicrogramsPerLitre; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
microgramPerMilliliter,Microgram per Milliliter,Concentration or density mass per volume,µg/mL,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
milligramPerCubicMeter,Milligram per Cubic Meter,Concentration or density mass per volume,mg/m^3,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
milligramPerLiter,Milligram per Liter,Concentration or density mass per volume,mg/L,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
milligramPerMilliliter,Milligram per Milliliter,Concentration or density mass per volume,mg/mL,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
nanogramPerCubicMeter,Nanogram per Cubic Meter,Concentration or density mass per volume,ng/m^3,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
nanogramPerLiter,Nanogram per Liter,Concentration or density mass per volume,ng/L,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
nanogramPerMilliliter,Nanogram per Milliliter,Concentration or density mass per volume,ng/mL,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
ouncePerCubicInch,Ounce per Cubic Inch,Concentration or density mass per volume,oz/in^3,http://qudt.org/vocab/unit#OuncePerCubicInch
ouncePerGallon,Ounce per Gallon,Concentration or density mass per volume,oz/gal,http://qudt.org/vocab/unit#OuncePerGallon
picogramPerCubicMeter,Picogram per Cubic Meter,Concentration or density mass per volume,pg/m^3,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
picogramPerLiter,Picogram per Liter,Concentration or density mass per volume,pg/L,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
picogramPerMilliliter,Picogram per Milliliter,Concentration or density mass per volume,pg/ml,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
planckDensity,Planck Density,Concentration or density mass per volume,,http://qudt.org/vocab/unit#PlanckDensity
poundPerCubicFoot,Pound per Cubic Foot,Concentration or density mass per volume,lb/ft^3,http://qudt.org/vocab/unit#PoundPerCubicFoot
poundPerCubicInch,Pound per Cubic Inch,Concentration or density mass per volume,lb/in^3,http://qudt.org/vocab/unit#PoundPerCubicInch
poundPerCubicMeter,Pound per Cubic Meter,Concentration or density mass per volume,lb/m^3,http://qudt.org/vocab/unit#PoundPerCubicMeter
poundPerCubicYard,Pound per Cubic Yard,Concentration or density mass per volume,lb/yd^3,http://qudt.org/vocab/unit#PoundPerCubicYard
poundPerGallon,Pound per Gallon,Concentration or density mass per volume,lb/gal,http://qudt.org/vocab/unit#PoundPerGallon
shortTonPerAcreFoot,Short Ton per Acre Foot,Concentration or density mass per volume,ton/ac ft,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
shortTonPerCubicYard,Short Ton per Cubic Yard,Concentration or density mass per volume,ton/yd,http://qudt.org/vocab/unit#TonShortPerCubicYard
slugPerCubicFoot,Slug per Cubic Foot,Concentration or density mass per volume,slug/ft^3,http://qudt.org/vocab/unit#SlugPerCubicFoot
cubicFootPerBarrel,Cubic Foot per Barrel,Concentration volume per volume,ft^3/bbl,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
cubicMeterPerCubicMeter,Cubic Meter per Cubic Meter,Concentration volume per volume,m^3/m^3,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
milliliterPerLiter,Milliliter per Liter,Concentration volume per volume,mL/L,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
percentByVolume,Percent By Volume,Concentration volume per volume,% by vol,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
perMilleByVolume,Per Mille By Volume,Concentration volume per volume,‰ by vol,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
count,Count,Count,,http://www.unidata.ucar.edu/software/udunits/
event,Event,Count,,
internationalUnit,International Unit,Count,IU; iU,http://qudt.org/vocab/unit#InternationalUnit; http://unitsofmeasure.org/ucum.html#para-45
micromole,Micromole,Count,µmol,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
millimole,Millimole,Count,mmol,
mole,Mole,Count,mol,http://qudt.org/vocab/unit#Mole; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/
mostProbableNumber,Most Probable Number,Count,MPN,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
number,Number,Count,#,http://qudt.org/vocab/unit#Number
osmole,Osmole,Count,osm,http://unitsofmeasure.org/ucum.html#para-45
countPer0.1SquareMeter,Count per 0.1 Square Meter,Count per area,#/0.1 m^2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
countPer1000SquareMeter,Count per 1000 Square Meter,Count per area,#/1000 m^2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
countPerSquareMeter,Count per Square Meter,Count per area,#/m^2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
countPerSquareMillimeter,Count per Square Millimeter,Count per area,#/mm^2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
countsPerSquareCentimeter,Counts per Square Centimeter,Count per area,#/cm^2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
dobson,Dobson,Count per area,,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
microeinsteinPerSquareMeter,Microeinstein per Square Meter,Count per area,µE/m^2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
millimoleOfPhotonPerSquareMeter,Millimole of Photon per Square Meter,Count per area,mmol/m^2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
lilangeni,Lilangeni,Currency,SZL,http://qudt.org/vocab/unit#Lilangeni
lithuanianLitas,Lithuanian Litas,Currency,LTL,http://qudt.org/vocab/unit#LithuanianLitas
loti,Loti,Currency,LSL,http://qudt.org/vocab/unit#Loti
malagasyAriary,Malagasy Ariary,Currency,MGA,http://qudt.org/vocab/unit#MalagasyAriary
malawiKwacha,Malawi Kwacha,Currency,MWK,http://qudt.org/vocab/unit#MalawiKwacha
malaysianRinggit,Malaysian Ringgit,Currency,MYR,http://qudt.org/vocab/unit#MalaysianRinggit
malteseLira,Maltese Lira,Currency,MTL,http://qudt.org/vocab/unit#MalteseLira
manat,Manat,Currency,TMM,http://qudt.org/vocab/unit#Manat
mauritiusRupee,Mauritius Rupee,Currency,MUR,http://qudt.org/vocab/unit#MauritiusRupee
metical,Metical,Currency,MZN,http://qudt.org/vocab/unit#Metical
mexicanPeso,Mexican Peso,Currency,MXN,http://qudt.org/vocab/unit#MexicanPeso
mexicanUnidadDeInversion(Udi)(FundsCode),Mexican Unidad De Inversion (Udi) (Funds Code),Currency,MXV,http://qudt.org/vocab/unit#MexicanUnidadDeInversion
millionUsDollars,Million Us Dollars,Currency,Million USD,http://qudt.org/vocab/unit#MillionUSDollars
moldovanLeu,Moldovan Leu,Currency,MDL,http://qudt.org/vocab/unit#MoldovanLeu
moroccanDirham,Moroccan Dirham,Currency,MAD,http://qudt.org/vocab/unit#MoroccanDirham
naira,Naira,Currency,NGN,http://qudt.org/vocab/unit#Naira
nakfa,Nakfa,Currency,ERN,http://qudt.org/vocab/unit#Nakfa
namibianDollar,Namibian Dollar,Currency,NAD,http://qudt.org/vocab/unit#NamibianDollar
nepaleseRupee,Nepalese Rupee,Currency,NPR,http://qudt.org/vocab/unit#NepaleseRupee
netherlandsAntillianGuilder,Netherlands Antillian Guilder,Currency,ANG,http://qudt.org/vocab/unit#NetherlandsAntillianGuilder
newIsraeliShekel,New Israeli Shekel,Currency,ILS,http://qudt.org/vocab/unit#NewIsraeliShekel
newTaiwanDollar,New Taiwan Dollar,Currency,TWD,http://qudt.org/vocab/unit#NewTaiwanDollar
newTurkishLira,New Turkish Lira,Currency,TRY,http://qudt.org/vocab/unit#NewTurkishLira
newZealandDollar,New Zealand Dollar,Currency,NZD,http://qudt.org/vocab/unit#NewZealandDollar
ngultrum,Ngultrum,Currency,BTN,http://qudt.org/vocab/unit#Ngultrum
northKoreanWon,North Korean Won,Currency,KPW,http://qudt.org/vocab/unit#NorthKoreanWon
norwegianKrone,Norwegian Krone,Currency,NOK,http://qudt.org/vocab/unit#NorwegianKrone
nuevoSol,Nuevo Sol,Currency,PEN,http://qudt.org/vocab/unit#NuevoSol
ouguiya,Ouguiya,Currency,MRO,http://qudt.org/vocab/unit#Ouguiya
pa'Anga,Pa'Anga,Currency,TOP,http://qudt.org/vocab/unit#Paanga
pakistanRupee,Pakistan Rupee,Currency,PKR,http://qudt.org/vocab/unit#PakistanRupee
palladium(OneTroyOunce),Palladium (One Troy Ounce),Currency,XPD,http://qudt.org/vocab/unit#Palladium-OunceTroy
pataca,Pataca,Currency,MOP,http://qudt.org/vocab/unit#Pataca
pesoUruguayo,Peso Uruguayo,Currency,UYU,http://qudt.org/vocab/unit#UruguayPeso
philippinePeso,Philippine Peso,Currency,PHP,http://qudt.org/vocab/unit#PhilippinePeso
platinum(OneTroyOunce),Platinum (One Troy Ounce),Currency,XPT,http://qudt.org/vocab/unit#Platinum-OunceTroy
poundSterling,Pound Sterling,Currency,GBP,http://qudt.org/vocab/unit#PoundSterling
pula,Pula,Currency,BWP,http://qudt.org/vocab/unit#Pula
qatariRial,Qatari Rial,Currency,QAR,http://qudt.org/vocab/unit#QatariRial
quetzal,Quetzal,Currency,GTQ,http://qudt.org/vocab/unit#Quetzal
rialOmani,Rial Omani,Currency,OMR,http://qudt.org/vocab/unit#OmaniRial
riel,Riel,Currency,KHR,http://qudt.org/vocab/unit#Riel
romanianNewLeu,Romanian New Leu,Currency,RON,http://qudt.org/vocab/unit#RomanianNeLeu
rufiyaa,Rufiyaa,Currency,MVR,http://qudt.org/vocab/unit#Rufiyaa
rupiah,Rupiah,Currency,IDR,http://qudt.org/vocab/unit#Rupiah
russianRuble,Russian Ruble,Currency,RUB,http://qudt.org/vocab/unit#RussianRuble
